Ambigous_word,POS_Tag,Ambigous_word_index,Sentence1,Sentence2,Label
carry,V,"['2', '1']",you must carry your camping gear ,sound carries well over water ,F
go,V,"['2', '6']",messages must go through diplomatic channels ,do you think the sofa will go through the door ,F
break,V,"['0', '2']",break an alibi ,the wholesaler broke the container loads into palettes and boxes for local retailers ,F
cup,N,"['8', '4']",he wore a jock strap with a metal cup ,bees filled the waxen cups with honey ,T
academy,N,"['1', '2']",the academy of music ,the french academy ,F
set,V,"['0', '1']",set the table ,to set glass in a sash ,F
starch,V,"['0', '1']",starch clothes ,she starched her blouses ,T
take,V,"['2', '3']",do you take sugar in your coffee ,a reading was taken of the earth s tremors ,F
avoid,V,"['3', '1']",i try to avoid the company of gamblers ,we avoided the ball ,T
clearance,N,"['2', '3']",he got clearance to travel to america  even though he had previous links to terrorists ,the plane got clearance from air traffic control  and we were off ,T
come,V,"['0', '1']",come out of the closet ,he came singing down the road ,T
coverage,N,"['13', '3']",before laying sod on that clay  the ground needs two inches of coverage with topsoil ,the dictionary s coverage of standard english is excellent ,T
death,N,"['1', '3']",her death came as a terrible shock ,he had two deaths on his conscience ,F
despite,N,"['1', '5']",the despite in which outsiders were held is legendary ,she wanted neither favor nor despite ,F
school,N,"['1', '5']",a school of small glittering fish swam by ,the divers encountered a huge school of mackerel ,T
go,V,"['2', '1']",we should go farther in this matter ,she went through a lot of trouble ,T
action,N,"['11', '2']",the united nations must have the power to propose and organize action without being hobbled by irrelevant issues ,recent federal action undermined the segregationist position ,T
fall,V,"['0', '2']",fall by the wayside ,the cities fell to the enemy ,F
work,V,"['4', '0']",this dough does not work easily ,work the phones ,F
shock,N,"['5', '8']",the armies met in the shock of battle ,the train hit the buffers with a great shock ,F
play,V,"['4', '0']",this speech did nt play well with the american public ,play football ,F
make,V,"['3', '0']",what do you make of his remarks ,make a dress ,F
end,N,"['8', '1']",the socalled glorious experiment came to an inglorious end ,the end was exciting ,F
break,N,"['3', '4']",there was a break in the action when a player was hurt ,he was up two breaks in the second set ,F
life,N,"['13', '1']",it was a heavy play and the actors tried in vain to give life to it ,the life of this milk carton may be thousands of years in this landfill ,F
person,N,"['6', '1']",there was too much for one person to do ,each person is unique  both mentally and physically ,T
answer,V,"['0', '1']",answer the door ,she answered the door ,T
do,V,"['3', '5']",all you ever do is surf the internet ,a  b  grade does nt suffice to get me into medical school ,F
play,V,"['0', '0']",play fair ,play football ,F
see,V,"['4', '3']",what message do you see in this letter ,we had to see a psychiatrist ,F
buff,N,"['4', '3']",to strip to the buff ,swimming in the buff ,T
boy,N,"['3', '4']",she made the boy brush his teeth every night ,most soldiers are only boys in uniform ,T
picture,N,"['3', '2']",she was the picture of despair ,the very picture of a modern general ,T
answer,V,"['5', '2']",she did nt want to answer ,this may answer her needs ,F
head,N,"['5', '3']",tickets are  5 per head ,he is two heads taller than his little sister ,F
break,V,"['0', '10']",break into tears ,if the vase falls to the floor  it might break ,F
die,V,"['1', '1']",to die to pleasure or to sin ,she died from cancer ,T
peak,N,"['5', '1']",the stock market reached a peak in september 1929 ,voltage peak ,T
civilization,N,"['7', '2']",a hermit does nt much care for civilization ,early mayan civilization ,T
carry,V,"['2', '1']",these bonds carry warrants ,she carries her ideas to the extreme ,F
shot,N,"['3', '6']",he wanted a shot at the champion ,i caught him with a solid shot to the chin ,F
body,N,"['1', '8']",the body of the car was badly rusted ,penny was in the scullery  pressing the body of her new dress ,F
cut,V,"['0', '0']",cut a ticket ,cut orders ,T
recognition,N,"['9', '2']",she seems to avoid much in the way of recognition or acknowledgement of feminist work prior to her own ,give her recognition for trying ,F
shift,V,"['3', '1']",you have to shift when you go down a steep hill ,he shifted in his seat ,F
cube,N,"['2', '2']",a stock cube ,a sugar cube ,T
follow,V,"['2', '1']",let s follow our great helmsman ,he followed his lecture with a question and answer period ,F
apply,V,"['1', '0']",i apply this rule to get good results ,apply a magnetic field here ,T
fall,V,"['0', '1']",fall asleep ,she fell ill ,T
make,V,"['3', '0']",she may not make the grade ,make a stir ,F
head,N,"['2', '6']",under the head of minor roman poets ,they tracked him back toward the head of the stream ,F
head,N,"['6', '1']",a reduction in the assessment per head of sheep ,200 head of cattle and 50 head of horses ,T
give,V,"['0', '2']",give a divorce ,the wall gave in ,F
drive,V,"['1', '0']",to drive sheep out of a field ,drive the cows into the barn ,T
fall,V,"['0', '1']",fall by the wayside ,to fall a tree ,F
gob,N,"['5', '5']",he s always stuffing his gob with fast food ,she s got such a gob on her  shes always gossiping about someone or other ,T
scale,N,"['1', '1']",the scale of the map ,the scale of the model ,T
stand,V,"['3', '3']",we had to stand for the entire performance ,on the pedestal stood a statue ,T
make,V,"['3', '1']",she may not make the grade ,he made twenty bucks playing poker last night ,F
furniture,N,"['9', '6']",the woman does not even have one stick of furniture moved in yet ,there was only one piece of furniture in the room ,T
give,V,"['0', '2']",give a yelp ,this student gives promise of real creativity ,F
cut,V,"['0', '0']",cut a movie scene ,cut a pingpong ball ,F
extension,N,"['6', '7']",most basic files use the filename extension bas ,a text file will have a file extension of txt ,T
seat,N,"['5', '4']",he was elected to a seat in the senate ,he dusted off the seat before sitting down ,F
make,V,"['0', '3']",make enemies ,what do you make of his remarks ,F
make,V,"['2', '0']",we should make cincinnati by 7 tonight ,make the bed ,F
take,V,"['2', '11']",do you take me for a fool ,looking at him as he came into the room  i took him for his father ,T
tea,N,"['0', '1']",tea has fragrant white flowers ,iced tea is a cooling drink ,F
take,V,"['0', '5']",take sick ,i estimate the trip will take about ten minutes ,F
way,N,"['4', '7']",do you know the way to the airport ,he said he was looking for the way out ,T
head,N,"['1', '1']",the head of the compass needle is pointing due north ,200 head of cattle ,F
lift,V,"['0', '1']",lift the box onto the table ,i lifted the books ,T
space,N,"['5', '1']",the astronauts walked in outer space without a tether ,the space between his teeth ,F
score,N,"['3', '1']",what was your score on your homework ,the score was 7 to 0 ,F
work,V,"['4', '5']",how does your idea work in practice ,the voting process does nt work as well as people thought ,T
double,N,"['5', '7']",he could be gingrich s double ,saddam hussein was rumored to have many doubles ,T
space,N,"['1', '3']",the space between his teeth ,the architect left space in front of the building ,T
fix,V,"['0', '2']",fix breakfast for the guests  please ,that ll fix him good ,F
head,N,"['4', '1']",matters came to a head yesterday ,the head of the column advanced boldly ,F
show,V,"['8', '1']",he bet  2 on number six to show ,i showed the customer the glove section ,F
take,V,"['1', '3']",i take it you re not going ,he was often taken to be a man of means ,T
cut,V,"['4', '0']",the employer wants to cut back health benefits ,cut trenches ,F
cot,N,"['2', '1']",a roller cot  the clothing of a drawing roller in a spinning frame  ,a cot for a sore finger ,T
run,V,"['8', '3']",these dyes and colors are guaranteed not to run ,the sale will run for ten days ,F
see,V,"['2', '3']",now i see ,i want to see whether she speaks french ,F
drive,V,"['0', '3']",drive the cows into the barn ,their debts finally drove them to sell the business ,F
bit,N,"['1', '7']",a bit of lint ,the horse was not accustomed to a bit ,F
stir,V,"['0', '0']",stir the soil ,stir emotions ,F
trombone,N,"['1', '3']",this trombone is very expensive ,jim plays the trombone very well ,T
fall,V,"['1', '1']",to fall a tree ,night fell ,T
trace,V,"['0', '0']",trace your path ,trace the outline of a figure in the sand ,F
take,V,"['0', '3']",take a pulse ,a reading was taken of the earth s tremors ,T
carry,V,"['2', '1']",i will carry the secret to my grave ,i carry a lot of life insurance ,T
body,N,"['8', '1']",penny was in the scullery  pressing the body of her new dress ,heavenly body ,F
hold,V,"['1', '0']",i hold with those who say life is sacred ,hold all calls to the president s office while he is in a meeting ,F
build,V,"['0', '0']",build a reputation ,build detergents ,F
smooth,V,"['0', '0']",smooth the way towards peace negotiations ,smooth the surface of the wood ,F
carry,V,"['1', '2']",we carry a very large mortgage ,the troops carried the town after a brief fight ,F
war,N,"['1', '2']",the war against crime ,the  war on terror  is a campaign against terrorist crime ,T
reply,V,"['1', '1']",please reply to my letter ,he replied that he was not sure ,T
house,N,"['4', '9']",the children were playing house ,she felt she had to get out of the house ,F
position,N,"['1', '9']",what position does he play ,stop running all over the field and play your position ,T
play,V,"['0', '2']",play sports ,who s playing now ,T
circus,N,"['1', '8']",the circus will be in town next week ,he ran away from home to join the circus ,T
break,V,"['0', '2']",break a law ,her voice broke to a whisper when she started to talk about her children ,F
woodenness,N,"['4', '3']",there was a certain woodenness in his replies ,he criticized the woodenness of the acting ,T
wreck,N,"['8', '4']",thanks to that quack i am a human wreck ,the house was a wreck when they bought it ,T
catch,V,"['0', '2']",catch the mood ,do nt catch your meaning ,F
blip,N,"['7', '5']",renewed jitters in the wake of a blip in retail sales ,the market had one bad blip today ,T
vegetate,V,"['2', '3']",the fields vegetate vigorously ,the bacterial growth vegetated along ,F
drag,N,"['4', '3']",peeling potatoes is a drag ,he took a drag on his cigarette and expelled the smoke slowly ,F
score,N,"['11', '2']",he tried to blame the victim but his success on that score was doubtful ,settling a score ,F
head,N,"['3', '6']",she gave great head ,they tracked him back toward the head of the stream ,F
volume,N,"['4', '7']",please turn down the volume on the stereo ,the kids played their music at full volume ,T
top,N,"['3', '5']",he removed the top of the carton ,he could nt get the top off of the bottle ,T
stand,V,"['3', '1']",we had to stand for the entire performance ,there stood on the corner a statue ,T
breath,N,"['4', '6']",he took a deep breath and dived into the pool ,i could feel the runner s breath on my shoulder ,F
take,V,"['0', '0']",take steps ,take action ,T
stuff,N,"['4', '5']",what is all that stuff on your bedroom floor ,you do nt have the stuff to be a united states marine ,F
raise,V,"['0', '0']",raise a mutiny ,raise the roof ,F
fire,N,"['4', '4']",we sat around the fire singing songs and telling stories ,barbecue over an open fire ,F
start,V,"['0', '1']",start a new job ,i start my day with a good breakfast ,F
run,V,"['3', '2']",the sale will run for ten days ,the meeting ran late ,T
do,V,"['0', '5']",do nothing ,a  b  grade does nt suffice to get me into medical school ,F
absence,N,"['5', '0']",he was surprised by the absence of any explanation ,absence makes the heart grow fonder ,T
cut,V,"['0', '0']",cut a check ,cut the rope ,F
ream,V,"['0', '2']",ream oranges ,the dentist reamed out the debris in the course of the root canal treatment ,F
run,V,"['2', '0']",do nt run that software unless you have permission   ,run rogue ,F
run,V,"['2', '4']",i will run the sample ,our coach had us running plays for the whole practice ,T
keep,V,"['2', '3']",may god keep you ,the student was kept after school ,F
work,V,"['0', '2']",work one s way through the crowd ,she never worked because she inherited a lot of money ,F
draw,V,"['0', '0']",draw water for a bath ,draw parallels ,F
make,V,"['1', '1']",clothes make the man ,he made to speak but said nothing in the end ,F
admit,V,"['10', '1']",we ll have to vote on whether or not to admit a new member ,he admitted his guilt ,F
take,V,"['3', '1']",you ca nt take credit for this ,we took an apartment on a quiet street ,F
make,V,"['0', '2']",make a mess in one s office ,she ll make a fine president ,F
stake,V,"['2', '0']",i will stake my good reputation for this ,stake your goat ,F
make,V,"['3', '6']",he did nt make the choir after his voice changed ,you have to spend money to make money ,T
order,N,"['6', '8']",the machine is now in working order ,a friend in new mexico said that the order caused no trouble out there ,F
work,V,"['5', '4']",the voting process does nt work as well as people thought ,this method does nt work ,T
stuff,N,"['3', '1']",there s good stuff in that book ,the stuff of heros ,F
interception,N,"['4', '4']",he resorted to the interception of his daughter s letters ,he claimed that the interception of one missile by another would be impossible ,T
raise,V,"['0', '0']",raise a smile ,raise your ` o  ,F
place,N,"['5', '4']",if you were in my place what would you do ,he has a special place in my thoughts ,F
take,V,"['0', '2']",take steps ,shall we take a guide in rome ,F
head,N,"['5', '1']",they say he gives good head ,the head of the list ,F
drug,V,"['4', '1']",you look like someone drug you behind a horse for half a mile ,they drugged the kidnapped tourist ,T
place,N,"['3', '7']",he overstepped his place ,he put the lamp back in its place ,F
